id,url,ja,zh_cn,translate
1023,https://www.jav321.com/genre/1023/1,,秘書,秘書
1025,https://www.jav321.com/genre/1025/1,,寡婦,未亡人
1026,https://www.jav321.com/genre/1026/1,,各种职业,職業色々
1027,https://www.jav321.com/genre/1027/1,,少女,美少女
1028,https://www.jav321.com/genre/1028/1,,黑人演员,黒人男優
1029,https://www.jav321.com/genre/1029/1,,孕妇,妊婦
1030,https://www.jav321.com/genre/1030/1,,外觀相似,そっくりさん
1031,https://www.jav321.com/genre/1031/1,,荡妇,痴女
1032,https://www.jav321.com/genre/1032/1,,母亲,お母さん
1033,https://www.jav321.com/genre/1033/1,,姐姐,お姉さん
1034,https://www.jav321.com/genre/1034/1,,女生,ギャル
1036,https://www.jav321.com/genre/1036/1,,妓女,キャバ嬢・風俗嬢
1039,https://www.jav321.com/genre/1039/1,,已婚妇女,人妻
1040,https://www.jav321.com/genre/1040/1,,服务生,ウェイトレス
1041,https://www.jav321.com/genre/1041/1,,伴侣,コンパニオン
1069,https://www.jav321.com/genre/1069/1,,通姦,不倫
1071,https://www.jav321.com/genre/1071/1,,黑帮成员,極道・任侠
1075,https://www.jav321.com/genre/1075/1,,女忍者,くノ一
1082,https://www.jav321.com/genre/1082/1,,女战士,女戦士
1083,https://www.jav321.com/genre/1083/1,,童年朋友,幼なじみ
1085,https://www.jav321.com/genre/1085/1,,超级女英雄,変身ヒロイン
1086,https://www.jav321.com/genre/1086/1,,魔法少女,魔法少女
2001,https://www.jav321.com/genre/2001/1,,巨乳,巨乳
2002,https://www.jav321.com/genre/2002/1,,高個子,長身
2003,https://www.jav321.com/genre/2003/1,,嬌小,小柄
2004,https://www.jav321.com/genre/2004/1,,眼鏡,めがね
2005,https://www.jav321.com/genre/2005/1,,贫乳・微乳,貧乳・微乳
2006,https://www.jav321.com/genre/2006/1,,苗條,スレンダー
2007,https://www.jav321.com/genre/2007/1,,胖女人,ぽっちゃり
2008,https://www.jav321.com/genre/2008/1,,迷你系列,ミニ系
2011,https://www.jav321.com/genre/2011/1,,亚洲女演员,アジア女優
2012,https://www.jav321.com/genre/2012/1,,白人,白人女優
2019,https://www.jav321.com/genre/2019/1,,蛮横娇羞,ツンデレ
2022,https://www.jav321.com/genre/2022/1,,女检察官,女捜査官
2023,https://www.jav321.com/genre/2023/1,,晒黑,日焼け
2024,https://www.jav321.com/genre/2024/1,,巨臀,巨尻
3001,https://www.jav321.com/genre/3001/1,,体育服,体操着・ブルマ
3002,https://www.jav321.com/genre/3002/1,,和服・丧服,和服・浴衣
3003,https://www.jav321.com/genre/3003/1,,水手服,セーラー服
3005,https://www.jav321.com/genre/3005/1,,旗袍,チャイナドレス
3006,https://www.jav321.com/genre/3006/1,,连裤袜,パンスト
3007,https://www.jav321.com/genre/3007/1,,迷你裙,ミニスカ
3008,https://www.jav321.com/genre/3008/1,,泳装,水着
3009,https://www.jav321.com/genre/3009/1,,学校泳装,競泳・スクール水着
3011,https://www.jav321.com/genre/3011/1,,校服,学生服
3012,https://www.jav321.com/genre/3012/1,,迷你裙警察,ミニスカポリス
3013,https://www.jav321.com/genre/3013/1,,身体意识,ボディコン
3014,https://www.jav321.com/genre/3014/1,,内衣,ランジェリー
3015,https://www.jav321.com/genre/3015/1,,奴役,ボンテージ
3029,https://www.jav321.com/genre/3029/1,,立即口交,即ハメ
3032,https://www.jav321.com/genre/3032/1,,泡泡袜,ルーズソックス
3033,https://www.jav321.com/genre/3033/1,,兔女郎,バニーガール
3035,https://www.jav321.com/genre/3035/1,,緊身衣,レオタード
3036,https://www.jav321.com/genre/3036/1,,女装人妖,女装・男の娘
4001,https://www.jav321.com/genre/4001/1,,SM,SM
4002,https://www.jav321.com/genre/4002/1,,乱伦,近親相姦
4004,https://www.jav321.com/genre/4004/1,,性骚扰,痴漢
4005,https://www.jav321.com/genre/4005/1,,亂交,乱交
4006,https://www.jav321.com/genre/4006/1,,猎艳,ナンパ
4007,https://www.jav321.com/genre/4007/1,,企画,企画
4008,https://www.jav321.com/genre/4008/1,,恋腿癖,脚フェチ
4009,https://www.jav321.com/genre/4009/1,,恋乳癖,巨乳フェチ
4010,https://www.jav321.com/genre/4010/1,,其他恋物癖,その他フェチ
4011,https://www.jav321.com/genre/4011/1,,屁股,尻フェチ
4013,https://www.jav321.com/genre/4013/1,,同性戀,レズ
4014,https://www.jav321.com/genre/4014/1,,处男,童貞
4015,https://www.jav321.com/genre/4015/1,,人妖,ニューハーフ
4016,https://www.jav321.com/genre/4016/1,,裙子,パンチラ
4017,https://www.jav321.com/genre/4017/1,,局部特写,局部アップ
4018,https://www.jav321.com/genre/4018/1,,粪便,スカトロ
4019,https://www.jav321.com/genre/4019/1,,無毛,パイパン
4020,https://www.jav321.com/genre/4020/1,,野外・露出,野外・露出
4021,https://www.jav321.com/genre/4021/1,,偷窥,盗撮・のぞき
4022,https://www.jav321.com/genre/4022/1,,国外进口,洋ピン・海外輸入
4023,https://www.jav321.com/genre/4023/1,,纪录片,ドキュメンタリー
4024,https://www.jav321.com/genre/4024/1,,业余,素人
4025,https://www.jav321.com/genre/4025/1,,单体作品,単体作品
4026,https://www.jav321.com/genre/4026/1,,车震,カーセックス
4028,https://www.jav321.com/genre/4028/1,,妄想,妄想
4029,https://www.jav321.com/genre/4029/1,,性奴,調教・奴隷
4030,https://www.jav321.com/genre/4030/1,,花痴,淫乱・ハード系
4031,https://www.jav321.com/genre/4031/1,,角色扮演,コスプレ
4033,https://www.jav321.com/genre/4033/1,,经典,クラシック
4034,https://www.jav321.com/genre/4034/1,,特效,特撮
4057,https://www.jav321.com/genre/4057/1,,姐妹,姉・妹
4058,https://www.jav321.com/genre/4058/1,,正太控,ショタ
4059,https://www.jav321.com/genre/4059/1,,接吻,キス・接吻
4060,https://www.jav321.com/genre/4060/1,,男同性恋,ゲイ・ホモ
4073,https://www.jav321.com/genre/4073/1,,動漫,アニメ
4075,https://www.jav321.com/genre/4075/1,,科幻,SF
4076,https://www.jav321.com/genre/4076/1,,特摄片,アクション
4096,https://www.jav321.com/genre/4096/1,,运动,スポーツ
4098,https://www.jav321.com/genre/4098/1,,性感的,セクシー
4105,https://www.jav321.com/genre/4105/1,,跳舞,ダンス
4106,https://www.jav321.com/genre/4106/1,,騎乘位,騎乗位
4110,https://www.jav321.com/genre/4110/1,,非戏院首映,Vシネマ
4111,https://www.jav321.com/genre/4111/1,,出轨,寝取り・寝取られ
4114,https://www.jav321.com/genre/4114/1,,戏剧,ドラマ
4116,https://www.jav321.com/genre/4116/1,,猥亵穿着,着エロ
4118,https://www.jav321.com/genre/4118/1,,偶像艺人,アイドル・芸能人
4119,https://www.jav321.com/genre/4119/1,,美容院,エステ
4120,https://www.jav321.com/genre/4120/1,,勾引,逆ナン
4121,https://www.jav321.com/genre/4121/1,,烂醉如泥的,泥酔
4122,https://www.jav321.com/genre/4122/1,,恶作剧,イタズラ
4123,https://www.jav321.com/genre/4123/1,,情侣,カップル
4124,https://www.jav321.com/genre/4124/1,,按摩,マッサージ
4138,https://www.jav321.com/genre/4138/1,,原作真人版,原作コラボ
4139,https://www.jav321.com/genre/4139/1,,感谢祭,ファン感謝・訪問
4140,https://www.jav321.com/genre/4140/1,,溫泉,温泉
5001,https://www.jav321.com/genre/5001/1,,中出,中出し
5002,https://www.jav321.com/genre/5002/1,,口交,フェラ
5003,https://www.jav321.com/genre/5003/1,,颜射,ぶっかけ
5004,https://www.jav321.com/genre/5004/1,,手淫,手コキ
5005,https://www.jav321.com/genre/5005/1,,肛門,アナル
5006,https://www.jav321.com/genre/5006/1,,振動,バイブ
5007,https://www.jav321.com/genre/5007/1,,鴨嘴,クスコ
5008,https://www.jav321.com/genre/5008/1,,自慰,オナニー
5009,https://www.jav321.com/genre/5009/1,,吞精,ごっくん
5010,https://www.jav321.com/genre/5010/1,,監禁,監禁
5011,https://www.jav321.com/genre/5011/1,,小便,放尿
5012,https://www.jav321.com/genre/5012/1,,饮尿,飲尿
5013,https://www.jav321.com/genre/5013/1,,排便,脱糞
5014,https://www.jav321.com/genre/5014/1,,灌腸,浣腸
5015,https://www.jav321.com/genre/5015/1,,药物,ドラッグ
5016,https://www.jav321.com/genre/5016/1,,潮吹,潮吹き
5017,https://www.jav321.com/genre/5017/1,,玩具,おもちゃ
5018,https://www.jav321.com/genre/5018/1,,跳蛋,ローター
5019,https://www.jav321.com/genre/5019/1,,乳交,パイズリ
5020,https://www.jav321.com/genre/5020/1,,69,シックスナイン
5021,https://www.jav321.com/genre/5021/1,,紧缚,縛り・緊縛
5022,https://www.jav321.com/genre/5022/1,,多P,3P・4P
5023,https://www.jav321.com/genre/5023/1,,顏射,顔射
5024,https://www.jav321.com/genre/5024/1,,食粪,食糞
5025,https://www.jav321.com/genre/5025/1,,淫語,淫語
5048,https://www.jav321.com/genre/5048/1,,足交,足コキ
5053,https://www.jav321.com/genre/5053/1,,指法,指マン
5057,https://www.jav321.com/genre/5057/1,,潤滑劑,ローション
5059,https://www.jav321.com/genre/5059/1,,折磨,拷問
5060,https://www.jav321.com/genre/5060/1,,母乳,母乳
5062,https://www.jav321.com/genre/5062/1,,女同接吻,レズキス
5063,https://www.jav321.com/genre/5063/1,,主观视角,主観
5064,https://www.jav321.com/genre/5064/1,,催眠,催眠・洗脳
5066,https://www.jav321.com/genre/5066/1,,女优按摩棒,電マ
5067,https://www.jav321.com/genre/5067/1,,颜面骑乘,顔面騎乗
5068,https://www.jav321.com/genre/5068/1,,深喉,イラマチオ
5069,https://www.jav321.com/genre/5069/1,,瘙痒,くすぐり
5071,https://www.jav321.com/genre/5071/1,,后宫,ハーレム
5072,https://www.jav321.com/genre/5072/1,,早漏,早漏
5073,https://www.jav321.com/genre/5073/1,,巨根,デカチン・巨根
5074,https://www.jav321.com/genre/5074/1,,M男,M男
5075,https://www.jav321.com/genre/5075/1,,流汗,汗だく
5076,https://www.jav321.com/genre/5076/1,,肛内中出,アナルセックス
6002,https://www.jav321.com/genre/6002/1,,第一視角,ハメ撮り
6003,https://www.jav321.com/genre/6003/1,,合集,ベスト・総集編
6004,https://www.jav321.com/genre/6004/1,,数位马赛克,デジモ
6005,https://www.jav321.com/genre/6005/1,,投稿,投稿
6006,https://www.jav321.com/genre/6006/1,,首次亮相,デビュー作品
6007,https://www.jav321.com/genre/6007/1,,其他,その他
6012,https://www.jav321.com/genre/6012/1,,4小时以上作品,4時間以上作品
6014,https://www.jav321.com/genre/6014/1,,介绍影片,イメージビデオ
6017,https://www.jav321.com/genre/6017/1,,薄码,ギリモザ
6063,https://www.jav321.com/genre/6063/1,,独立制作,インディーズ
6070,https://www.jav321.com/genre/6070/1,,教学,How To
6108,https://www.jav321.com/genre/6108/1,,子宫颈,ポルチオ
6149,https://www.jav321.com/genre/6149/1,,超乳,超乳
6151,https://www.jav321.com/genre/6151/1,,呕吐,ゲロ
6533,https://www.jav321.com/genre/6533/1,,高清,ハイビジョン
6548,https://www.jav321.com/genre/6548/1,,独占配信,独占配信
6555,https://www.jav321.com/genre/6555/1,,重制版,復刻
6566,https://www.jav321.com/genre/6566/1,,DMM配信限定,DMM配信限定
6574,https://www.jav321.com/genre/6574/1,,合作作品,コラボ作品
6597,https://www.jav321.com/genre/6597/1,,游戏真人版,ゲーム実写版
6608,https://www.jav321.com/genre/6608/1,,女优精选合集,女優ベスト・総集編
6609,https://www.jav321.com/genre/6609/1,,16小时以上作品,16時間以上作品
6671,https://www.jav321.com/genre/6671/1,,手机视频,スマホ推奨縦動画
